UTC,PCTime,cruise_number,acoustic_observer,ac_effort,vis_effort,ot_effort
5/23/2013 22:07,5/23/2013 22:07,1303,SC,on,on,S
5/23/2013 22:52,5/23/2013 22:52,1303,SC,on,ach,S
5/23/2013 23:32,5/23/2013 23:31,1303,SC,on,off,S
5/23/2013 23:32,5/23/2013 23:32,1303,SC,on,on,S
5/24/2013 0:03,5/24/2013 0:03,1303,SC,on,ach,S
5/24/2013 0:18,5/24/2013 0:18,1303,SC,on,off,S
5/24/2013 0:22,5/24/2013 0:22,1303,YB,on,on,S
5/24/2013 2:00,5/24/2013 2:00,1303,JT,on,on,S
5/24/2013 4:46,5/24/2013 4:46,1303,SC,on,vch,S
5/24/2013 4:57,5/24/2013 4:57,1303,SC,on,on,S
5/24/2013 5:15,5/24/2013 5:15,1303,SC,on,vch,S
5/24/2013 5:15,5/24/2013 5:15,1303,SC,on,vch,S
5/24/2013 5:32,5/24/2013 5:32,1303,SC,on,off,S
5/24/2013 5:38,5/24/2013 5:38,1303,SC,on,on,S
5/24/2013 5:45,5/24/2013 5:45,1303,SC,on,on,S
5/24/2013 6:00,5/24/2013 6:00,1303,SC,off,off,S
5/24/2013 16:49,5/24/2013 16:49,1303,YB,off,on,S
5/24/2013 17:01,5/24/2013 17:01,,YB,on,on,S
5/24/2013 17:04,5/24/2013 17:04,,YB,on,vch,S
5/24/2013 17:24,5/24/2013 17:24,,YB,on,off,S
5/24/2013 17:25,5/24/2013 17:25,,YB,off,off,S
5/24/2013 17:29,5/24/2013 17:29,,YB,on,off,S
5/24/2013 17:37,5/24/2013 17:37,1303,YB,on,on,S
5/24/2013 17:38,5/24/2013 17:38,1303,YB,on,on,S
5/24/2013 18:27,5/24/2013 18:27,1303,YB,on,vch,S
5/24/2013 19:13,5/24/2013 19:13,1303,JT,off,off,S
5/24/2013 19:14,5/24/2013 19:14,1303,JT,on,off,S
5/24/2013 19:17,5/24/2013 19:17,1303,JT,on,on,S
5/24/2013 21:14,5/24/2013 21:14,1303,SC,on,on,S
5/24/2013 21:25,5/24/2013 21:25,1303,SC,on,vch,S
5/24/2013 22:13,5/24/2013 22:13,1303,SC,on,vch,S
5/24/2013 22:26,5/24/2013 22:26,1303,SC,on,vch,S
5/24/2013 23:01,5/24/2013 23:01,1303,JT,on,vch,S
5/25/2013 0:12,5/25/2013 0:12,1303,YB,on,vch,S
5/25/2013 1:00,5/25/2013 1:00,1303,JT,on,vch,S
5/25/2013 1:56,5/25/2013 1:56,1303,JT,on,off,S
5/25/2013 2:00,5/25/2013 2:00,1303,JT,off,off,S
5/25/2013 2:05,5/25/2013 2:05,1303,JT,on,off,S
5/25/2013 2:17,5/25/2013 2:17,1303,JT,off,off,S
5/25/2013 2:19,5/25/2013 2:19,1303,JT,on,off,S
5/25/2013 2:31,5/25/2013 2:31,1303,JT,on,on,S
5/25/2013 3:01,5/25/2013 3:01,1303,PR,on,on,S
5/25/2013 3:09,5/25/2013 3:09,1303,PR,on,vch,S
5/25/2013 3:13,5/25/2013 3:13,1303,PR,on,on,S
5/25/2013 4:48,5/25/2013 4:48,1303,PR,on,vch,S
5/25/2013 4:49,5/25/2013 4:49,1303,PR,on,ach,S
5/25/2013 4:52,5/25/2013 4:52,1303,SC,on,ach,S
5/25/2013 5:06,5/25/2013 5:06,1303,SC,off,ach,S
5/25/2013 5:13,5/25/2013 5:13,1303,SC,on,ach,S
5/25/2013 5:35,5/25/2013 5:35,1303,YB,on,off,S
5/25/2013 5:37,5/25/2013 5:37,1303,YB,off,off,S
5/25/2013 5:41,5/25/2013 5:41,1303,YB,on,on,S
5/25/2013 6:08,5/25/2013 6:08,1303,YB,off,on,S
5/25/2013 6:10,5/25/2013 6:10,1303,YB,on,on,S
5/25/2013 6:14,5/25/2013 6:14,1303,YB,off,off,S
5/25/2013 16:37,5/25/2013 16:37,1303,PR,off,off,S
5/25/2013 16:40,5/25/2013 16:42,1303,PR,on,off,S
5/25/2013 16:53,5/25/2013 16:53,1303,PR,on,on,S
5/25/2013 17:38,5/25/2013 17:38,1303,PR,on,off,S
5/25/2013 17:45,5/25/2013 17:45,1303,PR,on,on,S
5/25/2013 17:49,5/25/2013 17:49,1303,PR,on,on,S
5/25/2013 18:08,5/25/2013 18:08,1303,SC,on,on,S
5/25/2013 18:15,5/25/2013 18:15,1303,SC,on,vch,S
5/25/2013 18:15,5/25/2013 18:15,1303,SC,on,vch,S
5/25/2013 18:55,5/25/2013 18:55,1303,SC,on,vch,S
5/25/2013 19:57,5/25/2013 19:57,1303,SC,on,off,S
5/25/2013 20:06,5/25/2013 20:06,1303,JT,on,on,S
5/25/2013 21:22,5/25/2013 21:22,1303,JT,on,off,S
5/25/2013 21:31,5/25/2013 21:31,1303,YB,on,off,S
5/25/2013 21:50,5/25/2013 21:50,1303,YB,on,on,S
5/25/2013 22:01,5/25/2013 22:01,1303,JT,on,on,S
5/26/2013 0:29,5/26/2013 0:29,1303,SC,on,on,S
5/26/2013 0:42,5/26/2013 0:42,1303,SC,on,on,S
5/26/2013 2:07,5/26/2013 2:07,1303,PR,on,on,S
5/26/2013 3:03,5/26/2013 3:03,1303,YB,on,on,S
5/26/2013 4:01,5/26/2013 4:01,1303,JT,on,on,S
5/26/2013 5:51,5/26/2013 5:51,1303,JT,off,off,S
5/26/2013 16:35,5/26/2013 16:35,1303,PR,off,on,S
5/26/2013 16:44,5/26/2013 16:44,1303,PR,on,on,S
5/26/2013 17:30,5/26/2013 17:30,1303,PR,on,on,S
5/26/2013 18:02,5/26/2013 18:02,1303,SC,on,on,S
5/26/2013 18:58,5/26/2013 18:58,1303,SC,on,vch,S
5/26/2013 19:18,5/26/2013 19:18,1303,SC,on,vch,S
5/26/2013 19:25,5/26/2013 19:25,1303,SC,off,vch,S
5/26/2013 19:27,5/26/2013 19:27,1303,SC,off,off,S
5/26/2013 19:31,5/26/2013 19:31,1303,SC,on,off,S
5/26/2013 19:33,5/26/2013 19:33,1303,SC,off,off,S
5/26/2013 19:37,5/26/2013 19:37,1303,SC,off,off,S
5/26/2013 19:38,5/26/2013 19:38,1303,SC,on,on,S
5/26/2013 20:00,5/26/2013 20:00,1303,PR,on,on,S
5/26/2013 20:59,5/26/2013 20:59,1303,JT,on,on,S
5/26/2013 21:57,5/26/2013 21:57,1303,JT,on,vch,S
5/26/2013 22:01,5/26/2013 22:01,1303,JT,on,ach,S
5/26/2013 22:50,5/26/2013 22:50,1303,JT,off,vch,S
5/26/2013 22:55,5/26/2013 22:55,1303,JT,on,on,S
5/26/2013 23:21,5/26/2013 23:21,1303,JT,on,vch,S
5/26/2013 23:21,5/26/2013 23:21,1303,JT,off,off,S
5/27/2013 1:31,5/27/2013 1:31,1303,SC,on,off,S
5/27/2013 1:32,5/27/2013 1:32,1303,SC,on,vch,S
5/27/2013 1:59,5/27/2013 1:59,1303,SC,on,on,S
5/27/2013 2:04,5/27/2013 2:04,1303,YB,on,on,S
5/27/2013 2:18,5/27/2013 2:18,1303,YB,on,vch,S
5/27/2013 2:18,5/27/2013 2:18,1303,YB,off,vch,S
5/27/2013 2:21,5/27/2013 2:21,1303,YB,on,vch,S
5/27/2013 3:40,5/27/2013 3:40,1303,YB,off,vch,S
5/27/2013 3:58,5/27/2013 3:58,1303,SC,on,vch,S
5/27/2013 5:12,5/27/2013 5:12,1303,SC,off,vch,S
5/27/2013 5:18,5/27/2013 5:18,1303,SC,on,vch,S
5/27/2013 5:21,5/27/2013 5:21,1303,SC,off,vch,S
5/27/2013 1:00,5/27/2013 1:00,1303,SC,on,on,S
5/27/2013 16:28,5/27/2013 16:28,1303,SC,on,off,S
5/27/2013 16:46,5/27/2013 16:46,1303,SC,on,on,S
5/27/2013 17:34,5/27/2013 17:34,1303,SC,on,on,S
5/27/2013 18:00,5/27/2013 18:00,1303,PR,on,on,S
5/27/2013 19:04,5/27/2013 19:04,1303,JT,on,on,S
5/27/2013 22:24,5/27/2013 22:24,1303,SC,on,on,S
5/28/2013 0:03,5/28/2013 0:03,1303,YB,on,on,S
5/28/2013 1:53,5/28/2013 1:53,1303,YB,on,ach,S
5/28/2013 2:47,5/28/2013 2:47,1303,YB,on,off,S
5/28/2013 3:04,5/28/2013 3:04,1303,JT,on,on,S
5/28/2013 5:25,5/28/2013 5:25,1303,JT,on,vch,S
5/28/2013 6:20,5/28/2013 6:20,1303,YB,off,off,S
5/28/2013 16:28,5/28/2013 16:28,1303,YB,off,on,S
5/28/2013 16:30,5/28/2013 16:30,1303,YB,on,on,S
5/28/2013 18:01,5/28/2013 18:01,1303,JT,on,on,S
5/28/2013 20:05,5/28/2013 20:05,1303,SC,on,on,S
5/28/2013 21:16,5/28/2013 21:16,1303,SC,on,ach,S
5/28/2013 21:42,5/28/2013 21:42,1303,YB,on,ach,S
5/28/2013 22:02,5/28/2013 22:02,1303,YB,on,off,S
5/28/2013 22:07,5/28/2013 22:07,1303,YB,on,on,S
5/28/2013 22:49,5/28/2013 22:49,1303,YB,off,vch,S
5/28/2013 22:53,5/28/2013 22:53,1303,YB,off,off,S
5/28/2013 22:57,5/28/2013 22:57,1303,YB,on,on,S
5/28/2013 23:28,5/28/2013 23:28,1303,YB,off,on,S
5/28/2013 23:38,5/28/2013 23:38,1303,YB,on,on,S
5/28/2013 23:47,5/28/2013 23:47,1303,YB,on,vch,S
5/28/2013 23:49,5/28/2013 23:49,1303,YB,off,vch,S
5/28/2013 23:52,5/28/2013 23:52,1303,YB,on,vch,S
5/29/2013 0:10,5/29/2013 0:10,1303,JT,on,vch,S
5/29/2013 0:32,5/29/2013 0:32,,JT,off,off,S
5/29/2013 0:33,5/29/2013 0:33,1303,JT,on,vch,S
5/29/2013 0:34,5/29/2013 0:34,1303,JT,on,vch,S
5/29/2013 0:37,5/29/2013 0:37,1303,JT,on,off,S
5/29/2013 1:09,5/29/2013 1:09,1303,JT,on,on,S
5/29/2013 1:09,5/29/2013 1:09,1303,JT,on,vch,S
5/29/2013 2:02,5/29/2013 2:02,1303,SC,on,vch,S
5/29/2013 2:03,5/29/2013 2:03,1303,SC,on,off,S
5/29/2013 2:06,5/29/2013 2:06,1303,SC,on,on,S
5/29/2013 3:14,5/29/2013 3:14,1303,SC,on,vch,S
5/29/2013 3:14,5/29/2013 3:18,1303,EN,on,vch,S
5/29/2013 3:14,5/29/2013 3:50,1303,EN,off,off,S
5/29/2013 3:14,5/29/2013 3:55,1303,EN,on,on,S
5/29/2013 3:14,5/29/2013 3:59,1303,JT,on,on,S
5/29/2013 3:14,5/29/2013 4:21,1303,JT,on,vch,S
5/29/2013 4:44,5/29/2013 4:44,1303,JT,off,vch,S
5/29/2013 4:44,5/29/2013 4:44,1303,JT,off,off,S
5/29/2013 19:23,5/29/2013 19:23,1303,,off,off,NS
5/29/2013 19:24,5/29/2013 19:24,1303,,off,on,NS
5/29/2013 19:30,5/29/2013 19:30,1303,JT,on,on,NS
5/29/2013 19:45,5/29/2013 19:45,1303,JT,on,vch,NS
5/29/2013 20:07,5/29/2013 20:07,1303,PR,on,vch,NS
5/29/2013 20:22,5/29/2013 20:22,1303,YB,on,vch,NS
5/29/2013 20:44,5/29/2013 20:44,1303,YB,on,off,NS
5/29/2013 20:58,5/29/2013 20:58,1303,YB,on,vch,NS
5/29/2013 20:58,5/29/2013 20:58,1303,YB,on,vch,NS
5/29/2013 21:04,5/29/2013 21:04,1303,YB,off,vch,NS
5/29/2013 22:01,5/29/2013 22:01,1303,PR,on,vch,NS
5/29/2013 22:01,5/29/2013 22:01,1303,JT,on,vch,NS
5/29/2013 22:11,5/29/2013 22:11,1303,JT,on,off,NS
5/29/2013 22:11,5/29/2013 22:11,1303,JT,on,on,NS
5/29/2013 22:23,5/29/2013 22:23,1303,JT,on,vch,NS
5/29/2013 23:19,5/29/2013 23:19,1303,JT,off,vch,NS
5/29/2013 23:20,5/29/2013 23:20,1303,JT,on,vch,NS
5/29/2013 23:57,5/29/2013 23:57,1303,JT,on,off,NS
5/30/2013 0:03,5/30/2013 0:03,1303,JT,on,on,NS
5/30/2013 0:27,5/30/2013 0:27,1303,JT,on,vch,NS
5/30/2013 0:34,5/30/2013 0:34,1303,JT,on,vch,NS
5/30/2013 0:39,5/30/2013 0:39,1303,JT,on,on,NS
5/30/2013 1:08,5/30/2013 1:08,1303,PR,on,on,NS
5/30/2013 2:13,5/30/2013 2:13,1303,PR,on,off,NS
5/30/2013 2:22,5/30/2013 2:22,1303,PR,off,off,NS
5/30/2013 2:22,5/30/2013 2:22,1303,JT,off,off,NS
5/30/2013 2:24,5/30/2013 2:24,1303,JT,on,off,NS
5/30/2013 2:45,5/30/2013 2:45,1303,JT,on,off,NS
5/30/2013 2:46,5/30/2013 2:46,1303,YB,on,off,NS
5/30/2013 3:07,5/30/2013 3:07,1303,YB,off,off,NS
5/30/2013 3:32,5/30/2013 3:32,1303,JT,on,on,NS
5/30/2013 5:19,5/30/2013 5:19,1303,JT,on,off,NS
5/30/2013 5:20,5/30/2013 5:20,1303,JT,off,off,NS
5/30/2013 16:08,5/30/2013 16:08,1303,SC,off,off,S
5/30/2013 16:25,5/30/2013 16:25,1303,SC,on,off,S
5/30/2013 16:31,5/30/2013 16:31,1303,SC,on,on,S
5/30/2013 16:33,5/30/2013 16:33,1303,SC,on,on,S
5/30/2013 17:45,5/30/2013 17:45,1303,YB,on,on,S
5/30/2013 20:05,5/30/2013 20:05,1303,JT,on,on,S
5/30/2013 21:02,5/30/2013 21:02,1303,JT,on,on,NS
5/30/2013 21:43,5/30/2013 21:43,1303,SC,on,on,NS
5/30/2013 22:21,5/30/2013 22:21,1303,SC,on,vch,NS
5/30/2013 22:31,5/30/2013 22:31,1303,SC,on,off,NS
5/30/2013 22:41,5/30/2013 22:41,1303,SC,on,on,NS
5/31/2013 1:03,5/31/2013 1:03,1303,JT,on,on,S
5/31/2013 1:56,5/31/2013 1:56,1303,JT,on,ach,S
5/31/2013 1:52,5/31/2013 1:52,1303,JT,on,off,S
5/31/2013 2:01,5/31/2013 2:01,1303,JT,on,on,S
5/31/2013 3:24,5/31/2013 3:24,1303,JT,on,off,S
5/31/2013 3:41,5/31/2013 3:41,1303,SC,on,on,S
5/31/2013 5:20,5/31/2013 5:20,1303,SC,off,off,S
5/31/2013 16:32,5/31/2013 16:32,1303,PR,off,on,S
5/31/2013 16:42,5/31/2013 16:42,1303,PR,on,on,S
5/31/2013 17:35,5/31/2013 17:35,1303,PR,off,vch,S
5/31/2013 17:36,5/31/2013 17:36,1303,PR,on,vch,S
5/31/2013 17:38,5/31/2013 17:38,1303,PR,off,vch,S
5/31/2013 17:39,5/31/2013 17:39,1303,PR,on,vch,S
5/31/2013 17:49,5/31/2013 17:49,1303,PR,on,off,S
5/31/2013 17:52,5/31/2013 17:52,1303,PR,on,on,S
5/31/2013 18:00,5/31/2013 18:00,1303,JT,on,on,S
5/31/2013 20:59,5/31/2013 20:59,1303,JT,on,vch,S
5/31/2013 21:17,5/31/2013 21:17,1303,SC,on,vch,S
5/31/2013 21:33,5/31/2013 21:33,1303,YB,on,vch,S
5/31/2013 21:42,5/31/2013 21:42,1303,YB,off,vch,S
5/31/2013 21:45,5/31/2013 21:45,1303,YB,on,vch,S
5/31/2013 21:50,5/31/2013 21:50,1303,YB,on,off,S
5/31/2013 21:52,5/31/2013 21:52,1303,YB,off,off,S
5/31/2013 21:55,5/31/2013 21:55,1303,YB,off,on,S
5/31/2013 21:57,5/31/2013 21:57,1303,YB,on,on,S
5/31/2013 21:58,5/31/2013 21:58,1303,JT,on,on,S
5/31/2013 22:14,5/31/2013 22:14,1303,JT,off,off,S
5/31/2013 22:31,5/31/2013 22:31,1303,JT,off,on,S
5/31/2013 22:59,5/31/2013 22:59,1303,JT,off,vch,S
5/31/2013 23:24,5/31/2013 23:24,1303,JT,off,on,S
6/1/2013 1:38,6/1/2013 0:48,1303,JT,off,vch,S
6/1/2013 1:38,6/1/2013 0:53,1303,JT,off,on,S
6/1/2013 1:38,6/1/2013 1:38,1303,JT,off,vch,S
6/1/2013 1:48,6/1/2013 1:48,1303,JT,off,on,S
6/1/2013 2:13,6/1/2013 2:13,1303,JT,off,off,S
6/1/2013 2:28,6/1/2013 2:28,1303,JT,off,on,S
6/1/2013 2:28,6/1/2013 2:28,1303,SC,on,on,S
6/1/2013 3:33,6/1/2013 3:33,1303,YB,on,on,S
6/1/2013 5:21,6/1/2013 5:21,1303,YB,off,off,S
6/1/2013 18:06,6/1/2013 18:06,1303,JT,off,on,S
6/1/2013 18:08,6/1/2013 18:08,1303,JT,on,on,S
6/1/2013 18:21,6/1/2013 18:21,1303,JT,on,vch,S
6/1/2013 19:38,6/1/2013 19:38,1303,SC,off,vch,S
6/1/2013 19:42,6/1/2013 19:42,1303,SC,on,vch,S
6/1/2013 20:32,6/1/2013 20:32,1303,SC,off,off,S
6/1/2013 20:40,6/1/2013 20:40,1303,JT,on,off,S
6/1/2013 20:49,6/1/2013 20:49,1303,JT,on,on,S
6/1/2013 20:58,6/1/2013 20:58,1303,JT,on,vch,S
6/1/2013 21:18,6/1/2013 21:18,1303,JT,on,off,S
6/1/2013 21:26,6/1/2013 21:26,1303,JT,on,on,S
6/1/2013 21:36,6/1/2013 21:36,1303,JT,off,on,S
6/1/2013 21:38,6/1/2013 21:38,1303,YB,on,on,S
6/1/2013 21:39,6/1/2013 21:39,1303,YB,off,on,S
6/1/2013 21:44,6/1/2013 21:44,1303,YB,on,on,S
6/1/2013 22:01,6/1/2013 22:01,1303,JT,on,on,S
6/1/2013 22:41,6/1/2013 22:16,1303,JT,on,vch,S
6/1/2013 22:41,6/1/2013 22:41,1303,JT,on,off,S
6/1/2013 22:47,6/1/2013 22:47,1303,JT,on,on,S
6/2/2013 0:04,6/2/2013 0:04,1303,SC,on,on,S
6/2/2013 0:55,6/2/2013 0:55,1303,SC,on,off,S
6/2/2013 0:55,6/2/2013 0:55,1303,SC,on,off,S
6/2/2013 2:39,6/2/2013 2:39,1303,SC,on,on,S
6/2/2013 2:40,6/2/2013 2:40,1303,PR,on,on,S
6/2/2013 3:01,6/2/2013 3:01,1303,JT,on,on,S
6/2/2013 3:04,6/2/2013 3:04,1303,JT,on,on,NS
6/2/2013 3:42,6/2/2013 3:42,1303,YB,on,on,NS
6/2/2013 3:58,6/2/2013 3:58,1303,JT,on,on,NS
6/2/2013 5:51,6/2/2013 5:51,1303,JT,on,vch,NS
6/2/2013 5:50,6/2/2013 5:50,1303,JT,off,off,NS
6/2/2013 16:16,6/2/2013 16:16,1303,JT,on,on,S
6/2/2013 16:52,6/2/2013 16:52,1303,JT,on,on,S
6/2/2013 19:09,6/2/2013 19:09,1303,JT,on,on,S
6/2/2013 19:09,6/2/2013 19:10,1303,SC,on,on,S
6/2/2013 19:19,6/2/2013 19:19,1303,SC,on,ach,S
6/2/2013 20:38,6/2/2013 20:38,1303,YB,off,off,S
6/2/2013 21:29,6/2/2013 21:29,1303,JT,on,off,S
6/2/2013 21:36,6/2/2013 21:36,1303,YB,on,on,S
6/2/2013 21:58,6/2/2013 21:58,1303,YB,on,on,S
6/2/2013 22:01,6/2/2013 22:01,1303,JT,on,on,S
6/2/2013 22:53,6/2/2013 22:53,1303,JT,on,off,S
6/2/2013 23:03,6/2/2013 23:03,1303,JT,on,on,S
6/3/2013 0:15,6/3/2013 0:15,1303,SC,on,on,S
6/3/2013 3:00,6/3/2013 3:00,1303,JT,on,on,S
6/3/2013 5:23,6/3/2013 5:23,1303,JT,off,off,S
6/3/2013 16:06,6/3/2013 16:06,,SC,off,off,S
6/3/2013 16:21,6/3/2013 16:21,,SC,off,on,S
6/3/2013 16:21,6/3/2013 16:21,1303,SC,off,on,NS
6/3/2013 16:22,6/3/2013 16:22,1303,SC,on,on,NS
6/3/2013 17:38,6/3/2013 17:38,1303,YB,on,on,NS
6/3/2013 19:55,6/3/2013 19:55,1303,JT,on,on,NS
6/3/2013 20:18,6/3/2013 20:18,1303,JT,on,off,NS
6/3/2013 20:26,6/3/2013 20:26,1303,JT,on,on,NS
6/3/2013 21:42,6/3/2013 21:42,1303,JT,on,on,S
6/3/2013 22:26,6/3/2013 22:26,1303,PR,on,on,S
6/3/2013 22:29,6/3/2013 22:29,1303,PR,off,off,S
6/3/2013 22:41,6/3/2013 22:41,1303,PR,on,on,S
6/3/2013 23:32,6/3/2013 23:32,1303,PR,on,vch,S
6/3/2013 23:45,6/3/2013 23:45,1303,PR,off,off,S
6/3/2013 23:49,6/3/2013 23:49,1303,SC,on,off,S
6/3/2013 23:50,6/3/2013 23:50,1303,SC,on,on,S
6/4/2013 0:06,6/4/2013 0:06,1303,JT,on,on,S
6/4/2013 3:16,6/4/2013 3:16,1303,JT,off,off,S
6/4/2013 16:17,6/4/2013 16:17,1303,YB,off,on,S
6/4/2013 16:18,6/4/2013 16:18,1303,YB,on,on,S
6/4/2013 18:03,6/4/2013 18:03,1303,JT,on,on,S
6/4/2013 20:30,6/4/2013 20:30,1303,JT,off,off,S
